module_code,module_name,Old ID,question_code,sort,subject_id,module_code,reason,kind,content,REFERENCE,response_1,target_1,response_2,target_2,response_3,target_3,return_node,target_module,return,decision_node,meets_respons,boolean,conclusion_1,conclusion_2,examples,asc,faq,help,report_summary,summary,,json
,,17,13-12,12,1,13,Freestanding Derivative Definition,q,"Is there net settlement either by the terms of the contract, through a market mechanism or by delivery of a derivative instrument or asset that is readily convertible to cash?",,Yes,13-48,No,13-48,Analyze,13-13,,,,13-47,No,,,,,,"1) Does net settlement have to occur under the terms of the contract?\n\nNo. Net settlement can occur under the terms of the contract, through a market mechanism, or by delivery of a derivative or other asset that is readily convertible to cash. Net settlement simply means that the parties end up in a financial position that reflects their respective net gain or loss resulting from the contract. This criteria is intended to exclude contracts that require physical settlement where the physically delivered asset is not readily convertible to cash. Commodities, publicly traded stocks, publicly traded bonds, and other physical assets with active trading markets are typically readily convertible to cash and would therefore meet this criteria. There are notable exception, like a publicly traded stock whose trading volume is very thin thereby making conversion of the stock received in physical settlement of the contract NOT readily convertible to cash. See _____ for an in-depth analysis of net settlement.\n\n2) Can I assume physical or net settlement if my contract provides for both physical and net settlement?\n\nIf the contract provides for net settlement than this criteria is considered met, even if physical settlement is an alternative. These settlement terms are potentially revisited if the instrument is determined to be a derivative (i.e., if all three criteria are met).","Net settlement under the terms of the contract is met if neither party is required to deliver an asset that is associated with the underlying and that has a principal amount, stated amount, face\nvalue, number of shares, or other denomination that is equal to the notional amount (or the notional amount plus a premium or minus a discount). Net settlement may be made in cash or by delivery of any other asset, whether or not that asset is readily convertible to cash.\n\nNet settlement through a market mechanism is achieved if one of the parties to a contract is required to deliver\nan asset of the type described in ASC 815-10-15-100, but there is an established market mechanism that facilitates net settlement outside the contract. Many derivatives are traded on exchanges. Other qualifying market mechanisms include, among others, over-the-counter arrangements, and private transactions where there are multiple market participants will and able to enter into a transaction at market prices. Evaluation of the this criteria should be made at inception of the contract and throughout its life. If a market mechanism for net settlement disappears after the initial assessment, and there is no other means for achieving net settlement, then the net settlement criteria is not met and the instrument no longer meets the definition of a derivative.\n\nNet settlement through delivery of a derivative contract or asset that is readily convertible to cash is met if the ""readily convertible to cash"" criteria in the glossary to ASC 815 are met. The characteristics include: (1) interchangeable (fungible) units, and (2) quoted prices that are available in an active market, which can rapidly absorb the quantity held by an entity without significantly affecting the price. These characteristics often make thinly traded commodities and stocks unable to meet the criteria, even if the owner might be able to borrow using the assets as collateral. One way to evaluate this criteria is to estimate the amount of cash that would be received in a net settlement arrangement versus the amount of cash that would be received by converting the asset or derivative received to cash. If the difference is significant, say more than 10%, then the asset or derivative is probably not readily convertible to cash under this definition.",,This is the third and last of three questions to determine if the freestanding instrument meets the accounting definition of a derivative. Your responses to this question and the previous two will determine whether this instrument is then evaluated as a derivative or as a non-derivative financial instrument.,,
,,18,13-13,13,1,13,Freestanding Derivative Definition,q,Is there net settlement of the contract under its terms?,,Yes,13-47,No,13-28,Analyze,13-14,,,,13-27,No,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
,,19,13-14,14,1,13,Freestanding Derivative Definition,q,"Is either party to the contract required to deliver an asset that is associated with the underlying and that has a principal amount, stated amount, face value, number of shares, or other denomination that is equal to the notional amount (or the notional plus a premium or minus a discount)?",,Yes,13-15,No,13-15,,,,,,13-27,Yes,,,,,,,,,,,
,,20,13-15,15,1,13,Freestanding Derivative Definition,q,Does the contract require or permit either or both parties to net share settle the contract?,,Yes,13-27,No,13-16,,,,,,13-27,No,,,,,,,,,,,
,,21,13-16,16,1,13,Freestanding Derivative Definition,q,Does the contract contain a penalty for nonperformance based on changes in the price of the items that are the subject of the contract?,,Yes,13-17,No,13-17,,,,,,13-27,No,,,,,,,,,,,
,,22,13-17,17,1,13,Freestanding Derivative Definition,q,Does the contract contain an incremental fixed penalty or fixed amount per unit?,,Yes,13-18,No,13-19,,,,,,,,,,,,,,,,,,
,,23,13-18,18,1,13,Freestanding Derivative Definition,q,Is the amount of the fixed penalty considered significant enough at all times during the term of the contract to make the possibility of nonperformance remote?,,Yes,13-19,No,13-19,,,,,,13-27,No,,,,,,,,,,,
,,24,13-19,19,1,13,Freestanding Derivative Definition,q,Does the contract provide for a structured payout over time of gain or loss resulting from the contract?,,Yes,13-20,No,13-21,,,,,,,,,,,,,,,,,,
,,25,13-20,20,1,13,Freestanding Derivative Definition,q,Is the fair value of the cash flows to received (or paid) by the holder under the structured payout approximately equal to the amount that would have been received (or paid) under immediate payout?,,Yes,13-21,No,13-21,,,,,,13-27,No,,,,,,,,,,,
,,26,13-21,21,1,13,Freestanding Derivative Definition,q,Does the contract require additional investing or borrowing to obtain the benefits pf the contract's gain?,,Yes,13-22,No,13-23,,,,,,,,,,,,,,,,,,
,,27,13-22,22,1,13,Freestanding Derivative Definition,q,Is the additional investing or borrowing a nontraditional adjustment of the yield on the amount invested or the interest element on the amount borrowed?,,Yes,13-23,No,13-23,,,,,,13-27,No,,,,,,,,,,,
,,28,13-23,23,1,13,Freestanding Derivative Definition,q,Is the contract a debt instrument?,,Yes,13-24,No,13-27,,,,,,,,,,,,,,,,,,
,,29,13-24,24,1,13,Freestanding Derivative Definition,q,Does the contract contain an embedded put or call option?,,Yes,13-25,No,13-27,,,,,,,,,,,,,,,,,,
,,30,13-25,25,1,13,Freestanding Derivative Definition,q,"If a call option, is the holder the debtor?",,Yes,13-26,No,13-26,Not applicable,13-26,,,,13-27,No,,,,,,,,,,,
,,31,13-26,26,1,13,Freestanding Derivative Definition,q,"If a put option, is the issuer the debtor?",,Yes,13-27,No,13-27,Not applicable,13-27,,,,13-27,No,,,,,,,,,,,
,,32,13-27,27,1,13,Freestanding Derivative Definition,d,Pass - meets conditions for net settlement by terms of the contract,,Pass,13-47,Fail,13-28,,,,,,13-47,Fail,and,,,,,,,,,,
,,,13-28,28,1,13,Freestanding Derivative Definition,q,Is there net settlement available by means of a market mechanism?,,Yes,13-47,No,13-35,Analyze,13-29,,,,13-47,No,,,,,,,,,,,
,,33,13-29,29,1,13,Freestanding Derivative Definition,q,Is there a means for one or both parties to liquidate its net position through a net payment?,,Yes,13-30,No,13-34,,,,,,13-34,No,,,,,,,,,,,
,,34,13-30,30,1,13,Freestanding Derivative Definition,q,Does liquidating the net position result in that party being fully relieved of it rights and obligations under the contract?,,Yes,13-31,No,13-34,,,,,,13-34,No,,,,,,,,,,,
,,35,13-31,31,1,13,Freestanding Derivative Definition,q,Does liquidation of the net position require significant transaction costs?,,Yes,13-34,No,13-32,,,,,,13-34,Yes,,,,,,,,,,,
,,36,13-32,32,1,13,Freestanding Derivative Definition,q,Does liquidation of the net position occur without significant negotiation and due diligence?,,Yes,13-33,No,13-34,,,,,,13-34,No,,,,,,,,,,,
,,37,13-33,33,1,13,Freestanding Derivative Definition,q,Does liquidation of the net position occur within a time frame that is considered customary for this type of contract?,,Yes,13-34,No,13-34,,,,,,13-34,No,,,,,,,,,,,
,,38,13-34,34,1,13,Freestanding Derivative Definition,d,Pass - meets conditions for net settlement through market mechanism,,Pass,13-47,Fail,13-35,,,,,,13-47,Fail,or,,,,,,,,,,
,,,13-35,35,1,13,Freestanding Derivative Definition,q,Is there net settlement by delivery of a derivative instrument or by delivery of an asset that is readily convertible to cash?,,Yes,13-47,No,13-47,Analyze,13-36,,,,13-47,No,,,,,,,,,,,
,,44,13-36,36,1,13,Freestanding Derivative Definition,q,Is the contract a stock purchase warrants or stock purchase option?,,Yes,13-37,No,13-41,,,,,,,,,,,,,,,,,,
,,45,13-37,37,1,13,Freestanding Derivative Definition,q,Is the stock underlying the warrant (or option) publicly traded?,,Yes,13-38,No,13-46,,,,,,13-46,No,,,,,,,,,,,
,,46,13-38,38,1,13,Freestanding Derivative Definition,q,Is the  warrant (or option) only for shares of the issuer (or that of its consolidated subsidieries?,,Yes,13-39,No,13-42,,,,,,,,,,,,,,,,,,
,,47,13-39,39,1,13,Freestanding Derivative Definition,q,Is sale or transfer of the shares issuable upon exercise restricted for a period of 32 days or more from the date of exercise?,,Yes,13-40,No,13-42,,,,,,,,,,,,,,,,,,
,,48,13-40,40,1,13,Freestanding Derivative Definition,q,"Does the holder have the power, contractually or by other means, to cause the restriction to be met within 31 days of the date of exercise?",,Yes,13-42,No,13-46,,,,,,13-46,No,,,,,,,,,,,
,,41,13-41,41,1,13,Freestanding Derivative Definition,q,Is the asset underlying the contract publicly traded stock?,,Yes,13-42,No,13-44,,,,,,,,,,,,,,,,,,
,,42,13-42,42,1,13,Freestanding Derivative Definition,q,Can the active market rapidaly absorb the quantity of stock to be received upon exercise without significantly affecting the price?,,Yes,13-43,No,13-46,,,,,,13-46,No,,,,,,,,,,,
,,43,13-43,43,1,13,Freestanding Derivative Definition,q,Are the estimated costs to convert the stock to cash considered to be significant?,,Yes,13-46,No,13-46,,,,,,13-46,Yes,,,,,,,,,,,
,,39,13-44,44,1,13,Freestanding Derivative Definition,q,Is the asset deliverable upon settlement of the contract readily convertible to cash?,,Yes,13-45,No,13-46,,,,,,13-46,No,,,,,,,,,,,
,,40,13-45,45,1,13,Freestanding Derivative Definition,q,"Is the amount of cash that would be received from sale of the asset on an active market, net of transaction costs, approximately equal to what the entity would have received under a net settlement provision?",,Yes,13-46,No,13-46,,,,,,13-46,No,,,,,,,,,,,
,,49,13-46,46,1,13,Freestanding Derivative Definition,d,Pass - meets conditions for net settlement by readily convertible to cash,,Pass,13-47,Fail,13-47,,,,,,13-47,Fail,or,,,,,,,,,,
,,50,13-47,47,1,13,Freestanding Derivative Definition,d,Pass - meets third condition,,Pass,13-48,Fail,13-48,,,,,,13-48,Fail,and,,,,,,,,,,
,,51,13-48,48,1,13,Freestanding Derivative Definition,d,Pass - Meets definition of a derivative,,Yes,,No,,,,,,TRUE,,No,and,The recipient of stock-based compensation that meets the definition of a derivative falls within the scope of ASC 815,The recipient of stock-based compensation that does not meet the definition of a derivative does not falls within the scope of ASC 815,,,,,,,,
15,registration_payments_arrangement,56,15-1,1,6,15,Registration Payments Arrangement,q,Does the contract require that the issuer file a registration statement for the resale of specified financial instruments and/or for the resale of equity shares of the financial instrument that are issuable upon exercise or conversion of specified financial instruments?,,Yes,15-2,No,15-2,,,,,,15-4,No,,,,,,,,,,,
,,57,15-2,2,6,15,Registration Payments Arrangement,q,Does the contract require that the registration statement be declared effective by the SEC within a specified time period?,,Yes,15-3,No,15-3,,,,,,15-4,No,,,,,,,,,,,
,,58,15-3,3,6,15,Registration Payments Arrangement,q,Does the contract require that the effectiveness of the registration statement be maintained a specified time period?,,Yes,15-4,No,15-4,,,,,,15-4,No,,,,,,,,,,,
,,59,15-4,4,6,15,Registration Payments Arrangement,d,Pass - Has at least one of the conditions,,Pass,15-5,Fail,15-5,,,,,,15-7,Fail,or,,,,,,,,,,
,,60,15-5,5,6,15,Registration Payments Arrangement,q,Does the contract require the issuer to transfer consideration if the effectiveness of the registration statement is not declared or if the effectiveness of the registration statement is not maintained?,,Yes,15-6,No,15-6,,,,,,15-6,No,,,,,,,,,,,
,,61,15-6,6,6,15,Registration Payments Arrangement,d,Pass - Meets the condition,,Pass,15-7,Fail,15-7,,,,,,15-7,Fail,or,,,,,,,,,,
,,62,15-7,7,6,15,Registration Payments Arrangement,d,Pass - Meets both conditions,,Pass,15-8,Fail,15-12,,,,,,,Fail,and,,,,,,,,,,
,,63,15-8,8,6,15,Registration Payments Arrangement,q,Is the insrument that is the subject of the registration payments arrangement convertible debt or convertible preferred stock?,,Yes,15-9,No,15-10,,,,,,,,,,,,,,,,,,
,,64,15-9,9,6,15,Registration Payments Arrangement,q,Is the form of consideration payable to the counterparty an adjustment to the conversion ratio?,,Yes,15-14,No,15-10,,,,,,,,,,,,,,,,,,
,,65,15-10,10,6,15,Registration Payments Arrangement,q,Is the consideration payable to the counterparty determined by reference to an observable market other than the market for the company's stock?,,Yes,15-11,No,15-11,,,,,,15-12,No,,,,,,,,,,,
,,66,15-11,11,6,15,Registration Payments Arrangement,q,Is the consideration payable to the counterparty determined by reference to an observable index?,,Yes,15-12,No,15-12,,,,,,15-12,No,,,,,,,,,,,
,,67,15-12,12,6,15,Registration Payments Arrangement,d,Pass - neither condition is present,,Yes,15-13,No,15-15,,,,,TRUE,,No,or,,,,,,,,,,
,,68,15-13,13,6,15,Registration Payments Arrangement,q,Does payment of consideration under the registration payments arrangement settle the instrument(s) subject to the arrangement?,,Yes,15-16,No,15-17,,,,,,,,,,,,,,,,,,
,,,15-14,14,6,15,Registration Payments Arrangement,r,"A convertible instrument with a contingently adjustable conversion ratio should be accounted for in accordance with ASC 470-20, Debt with Conversion and Other Options. A more through treatment of debt in general under ASC 470 will be undertaken by GAAP Logic in a future project.",,,,,,,,,,,,,,,,,,,,,,,
,,,15-15,15,6,15,Registration Payments Arrangement,r,A registration payament arrangement whose payment is determined by reference to 1) am observable market other than the market for the company's stock and/or 2) an observable index should accounted for as a derivative in accordance with ASC 815-10. Record the contract initially at fair value and remeasure subsequently at fair value at each reporting date.  Any changes in fair value should be recoognized as gain or loss in income.,,,,,,,,,,,,,,,,,,,,,,,
,,,15-16,16,6,15,Registration Payments Arrangement,r,A registration payment arrangement whose consideration payment settles the instrument(s) subject to the arrangement should be accounted for as a contingent liability.,,,,,,,,,,,,,,,,,,,,,,,
,,,15-17,17,6,15,Registration Payments Arrangement,r,A registration payment arrangement should be accounted for in accordance with ASC 825-20--Registration Payment Arrangements.,,,,,,,,,,,,,,,,,,,,,,,
17,conventional_convertible_debt,164,17-1,1,12,17,Conventional Convertible Debt,q,Does the conversion provision provide the holder the option to convert into only a fixed number of shares or the equivalent amount of cash (at the discretion of the issuer)?,,Yes,17-2,No,17-2,,,,,,17-5,No,,,,,,,,,,,
,,165,17-2,2,12,17,Conventional Convertible Debt,q,Is the ability to exercise the option based solely on the passage of time or a contingent event?,,Yes,17-3,No,17-3,,,,,,17-5,No,,,,,,,,,,,
,,166,17-3,3,12,17,Conventional Convertible Debt,q,Does the conversion provision include adjustments to the number of shares issuable upon conversion?,,Yes,17-4,No,17-4,,,,,,,,,,,,,,,,,,
,,167,17-4,4,12,17,Conventional Convertible Debt,q,Are the adjustments solely standard antidilution provisions?,,Yes,17-5,No,17-5,,,,,,17-5,No,,,,,,,,,,,
,,168,17-5,5,12,17,Conventional Convertible Debt,d,Pass - meets definition of conventional convertible debt,,Pass,18-1,Fail,,,,,,TRUE,,Fail,or,,,,,,,,,,
18,beneficial_conversion_feature,239,18-1,1,13,18,Beneficial Conversion Feature,q,Is there a beneficial conversion feature as of the date of issuance?,,Yes,18-2,No,18-3,,,,,,,,,,,,,,,,"A beneficial conversion feature exists when the effective conversion price is less then the stock price at inception of the agreement.  The effective conversion price is not necessarily the conversion price written into the agreement; rather, the effective conversion price equals the per share issuance proceeeds allocated to the convertible instrument.  Click ''Help'' for more information.",,
,,240,18-2,2,13,18,Beneficial Conversion Feature,q,Upon conversion may the entire convertible debt instrument be entirely or partially settled in cash or by transfer of some other asset?,,Yes,18-4,No,18-5,,,,,TRUE,,,,,,,,,,,,,
,,,18-3,3,13,18,Beneficial Conversion Feature,r,Account for the instrument as conventional debt. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,18-4,4,13,18,Beneficial Conversion Feature,r,Account for the liability and equity components separately in accordance with the Cash Conversion subsections ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,18-5,5,13,18,Beneficial Conversion Feature,r,Account for the debt and the beneficial conversion feature separately in accordance with ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
19,definition_embedded,169,19-1,1,11,19,Embedded Derivatives,q,"Is there 1) one or more underlyings, and 2) a notional amount, a payment provision, or both?",,Yes,19-8,No,19-8,Analyze,19-2,,19,,19-48,No,,,,,,,,,You have determined that the host contract is not conventional convertible debt. The next step is to determine if the embedded feature meets the accounting definition of a derivative. There are three criteria that make up the definition. This is the first. The questions that follow will address the second and third criteria.,,
,,170,19-2,2,11,19,Embedded Derivatives,q,Is there one or more underlyings?,,Yes,19-3,No,19-7,,,,,,19-7,No,,,,,,,,,,,
,,171,19-3,3,11,19,Embedded Derivatives,q,Is there a notional amount?,,Yes,19-4,No,19-5,,,,,,,,,,,,,,,,,,
,,,19-4,4,11,19,Embedded Derivatives,q,Do the underlying (or one of the underlyings) and the notional amount interact to determine the amount of the settlement of the contract? ,,Yes,19-5,No,19-5,,,,,,19-7,No,,,,,,,,,,,
,,172,19-5,5,11,19,Embedded Derivatives,q,Is there a payment provision?,,Yes,19-6,No,19-7,,,,,,,,,,,,,,,,,,
,,,19-6,6,11,19,Embedded Derivatives,q,Is the payment provision triggered by the underlying (or one or more of the underlyings)?,,Yes,19-7,No,19-7,,,,,,19-7,No,,,,,,,,,,,
,,173,19-7,7,11,19,Embedded Derivatives,d,Pass - Meets first condition,,Pass,19-8,Fail,19-8,,,,,,19-48,Fail,and,,,,,,,,,,
,,174,19-8,8,11,19,Embedded Derivatives,q,Is there a low or no initial investment?,,Yes,19-12,No,19-12,Analyze,19-9,,,,19-48,No,,,,,,,,,This is the second of three questions to determine if the embedded feature meets the accounting defintion of a derivative.,,
,,175,19-9,9,11,19,Embedded Derivatives,q,Does the contract require a payment that is equal to the notional amount (plus a premium or minus a discount)?,,Yes,19-10,No,19-10,,,,,,19-11,Yes,,,,,,,,,,,
,,176,19-10,10,11,19,Embedded Derivatives,q,"Is the contract's initial net investment less, by more than a nominal amount, than the initial investment that would be required to either buy the asset related to the underlying or incur the obligation related to the underlying?",,Yes,19-11,No,19-11,,,,,,19-11,No,,,,,,,,,,,
,,177,19-11,11,11,19,Embedded Derivatives,d,Pass - Meets second condition condition,,Pass,19-12,Fail,19-12,,,,,,19-48,Fail,or,,,,,,,,,,
,,178,19-12,12,11,19,Embedded Derivatives,q,"Is there net settlement either by the terms of the contract, through a market mechanism or by delivery of a derivative instrument or asset that is readily convertible to cash?",,Yes,19-48,No,19-48,Analyze,19-13,,,,19-47,No,,,,,,,,,"This is the third and last of three questions to determine if the embedded feature meets the accounting defintion of a derivative. Your responses to this question and the previous two will determine whether this embedded feature is 1) bifurcated from the host contract, or 2) evaluated further for possible exceptions to derivative accounting.",,
,,179,19-13,13,11,19,Embedded Derivatives,q,Is there net settlement of the contract under its terms?,,Yes,19-47,No,19-28,Analyze,19-14,,,,19-27,No,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
,,180,19-14,14,11,19,Embedded Derivatives,q,"Is either party to the contract required to deliver an asset that is associated with the underlying and that has a principal amount, stated amount, face value, number of shares, or other denomination that is equal to the notional amount (or the notional plus a premium or minus a discount)?",,Yes,19-15,No,19-15,,,,,,19-27,Yes,,,,,,,,,,,
,,181,19-15,15,11,19,Embedded Derivatives,q,Does the contract require or permit either or both parties to net share settle the contract?,,Yes,19-27,No,19-16,,,,,,19-27,No,,,,,,,,,,,
,,182,19-16,16,11,19,Embedded Derivatives,q,Does the contract contain a penalty for nonperformance based on changes in the price of the items that are the subject of the contract?,,Yes,19-17,No,19-17,,,,,,19-27,No,,,,,,,,,,,
,,183,19-17,17,11,19,Embedded Derivatives,q,Does the contract contain an incremental fixed penalty or fixed amount per unit?,,Yes,19-18,No,19-19,,,,,,,,,,,,,,,,,,
,,184,19-18,18,11,19,Embedded Derivatives,q,Is the amount of the fixed penalty considered significant enough at all times during the term of the contract to make the possibility of nonperformance remote?,,Yes,19-19,No,19-19,,,,,,19-27,No,,,,,,,,,,,
,,185,19-19,19,11,19,Embedded Derivatives,q,Does the contract provide for a structured payout over time of gain or loss resulting from the contract?,,Yes,19-20,No,19-21,,,,,,,,,,,,,,,,,,
,,186,19-20,20,11,19,Embedded Derivatives,q,Is the fair value of the cash flows to received (or paid) by the holder under the structured payout approximately equal to the amount that would have been received (or paid) under immediate payout?,,Yes,19-21,No,19-21,,,,,,19-27,No,,,,,,,,,,,
,,187,19-21,21,11,19,Embedded Derivatives,q,Does the contract require additional investing or borrowing to obtain the benefits pf the contract's gain?,,Yes,19-22,No,19-23,,,,,,,,,,,,,,,,,,
,,188,19-22,22,11,19,Embedded Derivatives,q,Is the additional investing or borrowing a nontraditional adjustment of the yield on the amount invested or the interest element on the amount borrowed?,,Yes,19-23,No,19-23,,,,,,19-27,No,,,,,,,,,,,
,,189,19-23,23,11,19,Embedded Derivatives,q,Is the contract a debt instrument?,,Yes,19-24,No,19-27,,,,,,,,,,,,,,,,,,
,,190,19-24,24,11,19,Embedded Derivatives,q,Does the contract contain an embedded put or call option?,,Yes,19-25,No,19-27,,,,,,,,,,,,,,,,,,
,,191,19-25,25,11,19,Embedded Derivatives,q,"If a call option, is the holder the debtor?",,Yes,19-26,No,19-26,Not applicable,19-26,,,,19-27,No,,,,,,,,,,,
,,192,19-26,26,11,19,Embedded Derivatives,q,"If a put option, is the issuer the debtor?",,Yes,19-27,No,19-27,Not applicable,19-27,,,,19-27,No,,,,,,,,,,,
,,193,19-27,27,11,19,Embedded Derivatives,d,Pass - meets conditions for net settlement by terms of the contract,,Pass,19-47,Fail,19-28,,,,,,19-47,Fail,and,,,,,,,,,,
,,,19-28,28,11,19,Embedded Derivatives,q,Is there net settlement available by means of a market mechanism?,,Yes,19-47,No,19-35,Analyze,19-29,,,,19-47,No,,,,,,,,,,,
,,194,19-29,29,11,19,Embedded Derivatives,q,Is there a means for one or both parties to liquidate its net position through a net payment?,,Yes,19-30,No,19-34,,,,,,19-34,No,,,,,,,,,,,
,,195,19-30,30,11,19,Embedded Derivatives,q,Does liquidating the net position result in that party being fully relieved of it rights and obligations under the contract?,,Yes,19-31,No,19-34,,,,,,19-34,No,,,,,,,,,,,
,,196,19-31,31,11,19,Embedded Derivatives,q,Does liquidation of the net position require significant transaction costs?,,Yes,19-34,No,19-32,,,,,,19-34,Yes,,,,,,,,,,,
,,197,19-32,32,11,19,Embedded Derivatives,q,Does liquidation of the net position occur without significant negotiation and due diligence?,,Yes,19-33,No,19-34,,,,,,19-34,No,,,,,,,,,,,
,,198,19-33,33,11,19,Embedded Derivatives,q,Does liquidation of the net position occur within a time frame that is considered customary for this type of contract?,,Yes,19-34,No,19-34,,,,,,19-34,No,,,,,,,,,,,
,,199,19-34,34,11,19,Embedded Derivatives,d,Pass - meets conditions for net settlement through market mechanism,,Pass,19-47,Fail,19-35,,,,,,19-47,Fail,or,,,,,,,,,,
,,,19-35,35,11,19,Embedded Derivatives,q,Is there net settlement by delivery of a derivative instrument or by delivery of an asset that is readily convertible to cash?,,Yes,19-47,No,19-47,Analyze,19-36,,,,19-47,No,,,,,,,,,,,
,,205,19-36,36,11,19,Embedded Derivatives,q,Is the contract a stock purchase warrants or stock purchase option?,,Yes,19-37,No,19-41,,,,,,,,,,,,,,,,,,
,,206,19-37,37,11,19,Embedded Derivatives,q,Is the stock underlying the warrant (or option) publicly traded?,,Yes,19-38,No,19-46,,,,,,19-46,No,,,,,,,,,,,
,,207,19-38,38,11,19,Embedded Derivatives,q,Is the  warrant (or option) only for shares of the issuer (or that of its consolidated subsidieries?,,Yes,19-39,No,19-42,,,,,,,,,,,,,,,,,,
,,208,19-39,39,11,19,Embedded Derivatives,q,Is sale or transfer of the shares issuable upon exercise restricted for a period of 32 days or more from the date of exercise?,,Yes,19-40,No,19-42,,,,,,,,,,,,,,,,,,
,,209,19-40,40,11,19,Embedded Derivatives,q,"Does the holder have the power, contractually or by other means, to cause the restriction to be met within 31 days of the date of exercise?",,Yes,19-42,No,19-46,,,,,,19-46,No,,,,,,,,,,,
,,202,19-41,41,11,19,Embedded Derivatives,q,Is the asset underlying the contract publicly traded stock?,,Yes,19-42,No,19-44,,,,,,,,,,,,,,,,,,
,,203,19-42,42,11,19,Embedded Derivatives,q,Can the active market rapidaly absorb the quantity of stock to be received upon exercise without significantly affecting the price?,,Yes,19-43,No,19-46,,,,,,19-46,No,,,,,,,,,,,
,,204,19-43,43,11,19,Embedded Derivatives,q,Are the estimated costs to convert the stock to cash considered to be significant?,,Yes,19-46,No,19-46,,,,,,19-46,Yes,,,,,,,,,,,
,,200,19-44,44,11,19,Embedded Derivatives,q,Is the asset deliverable upon settlement of the contract readily convertible to cash?,,Yes,19-45,No,19-46,,,,,,19-46,No,,,,,,,,,,,
,,201,19-45,45,11,19,Embedded Derivatives,q,"Is the amount of cash that would be received from sale of the asset on an active market, net of transaction costs, approximately equal to what the entity would have received under a net settlement provision?",,Yes,19-46,No,19-46,,,,,,19-46,No,,,,,,,,,,,
,,210,19-46,46,11,19,Embedded Derivatives,d,Pass - meets conditions for net settlement by readily convertible to cash,,Pass,19-47,Fail,19-47,,,,,,19-47,Fail,or,,,,,,,,,,
,,211,19-47,47,11,19,Embedded Derivatives,d,Pass - meets third condition,,Pass,19-48,Fail,19-48,,,,,,19-48,Fail,and,,,,,,,,,,
,,212,19-48,48,11,19,Embedded Derivatives,d,Pass - Meets definition of a derivative,,Pass,,Fail,,,,,,TRUE,,Fail,and,,,,,,,,,,
21,stock_compensation,56,21-1,1,3,21,Stock Compensation,q,"Was this instrument issued as stock-based compensation to, and for goods and/or services provided by, an employee?",,Yes,21-8,No,21-2,,,,,,,,,,,,,,,,,,
,,57,21-2,2,3,21,Stock Compensation,q,"Was this instrument issued as stock-based compensation to, and for goods and/or services provided by, a nonemployee?",,Yes,15-10,No,21-3,,,,,,,,,,,,,,,,,,
,,58,21-3,3,3,21,Stock Compensation,q,Is the company the issuer or the provider of the goods and/or services?,,Issuer,21-4,Provider of goods and/or services,21-5,,,,,,,,,,,,,,,,,,
,,59,21-4,4,3,21,Stock Compensation,q,Have the goods and/or services of the non-employee already been provided?,,Yes,21-6,No,21-7,,,,,,,,,,,,,,,,,,
,,60,21-5,5,3,21,Stock Compensation,q,Does the equity-linked contract for for goods and/or services where the company is the provider of the goods and services meet the accounting definition of a derivative?,,Yes,21-9,No,21-10,Analyze,13-1,21-5,13,,,,,,,,,,,,,,
,,61,21-6,6,3,21,Stock Compensation,q,Does the equity-linked contract for goods and services where the company is the issuer and the services have been provided meet the accounting definition of a derivative?,,Yes,21-11,No,21-12,Analyze,13-1,21-6,13,,,,,,,,,,,,,,
,,62,21-7,7,3,21,Stock Compensation,q,Does the equity-linked contract for goods and services where the company is the issuer and the services have not been provided meet the accounting definition of a derivative?,,Yes,21-13,No,21-14,Analyze,13-1,21-7,13,,,,,,,,,,,,,,
,,63,21-8,8,3,21,Stock Compensation,r,"Stock compensation paid to an employee should be accounted for in accordance eith ASC 718, Compensation--Stock Compensation",,,,,,,,,,,,,,,,,,,,,,,
,,64,21-9,9,3,21,Stock Compensation,r,"Since the equity-linked contract meets the accounting definition of a derivative, the contract should be accounted for as a freestanding derivative initially recorded at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.",,,,,,,,,,,,,,,,,,,,,,,
,,65,21-10,10,3,21,Stock Compensation,r,"Since the equity-linked contract does not meet the accounting definition of a derivative, the contract should be recorded at fair value in accordance with ASC 505-50 and should not be subsequently remeasured.",,,,,,,,,,,,,,,,,,,,,,,
,,66,21-11,11,3,21,Stock Compensation,r,"Since the equity-linked contract meets the accounting definition of a derivative, the contract should be accounted for as a freestanding derivative initially recorded at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.",,,,,,,,,,,,,,,,,,,,,,,
,,67,21-12,12,3,21,Stock Compensation,r,"Since the equity-linked contract does not meet the accounting definition of a derivative, the contract should be recorded at fair value in accordance with ASC 505-50 and should not be subsequently remeasured.",,,,,,,,,,,,,,,,,,,,,,,
